FIRE_NAME,FIRE_YEAR,STAT_CAUSE_DESCR,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,STATE
28,2005,Campfire,2.5,43.99555556,-121.4141667,OR
"CHURCH #1",2004,Lightning,2.5,33.49666667,-105.7397222,NM
"DRY MILLS",2004,Lightning,2.5,33.41777778,-105.7075,NM
"AGUA FRIA",2004,Lightning,2.5,33.25527778,-105.6261111,NM
44,2005,Campfire,2.5,44.04333333,-121.3861111,OR
"TANNASSEE GAP I",2005,"Equipment Use",5,35.22833333,-82.88444444,NC
"HOWARD GAP",2005,Arson,10,35.00027778,-83.35111111,NC
"HOT SPRINGS",2005,Arson,2.5,35.93166667,-81.71666667,NC
"AUSTIN CREEK",2005,"Debris Burning",15,36.00166667,-81.59,NC
HEADQUARTERS,2005,"Debris Burning",10,35.985,-81.85166667,NC
BLUFF,2005,"Debris Burning",5,35.9,-81.68333333,NC
MOUNTAIN,2005,"Debris Burning",10,36.035,-81.585,NC
88,2005,Campfire,2.5,43.95555556,-121.3522222,OR
JOHN,2005,Lightning,2.5,42.35472222,-105.5055556,WY
WATERLOO,2005,Miscellaneous,10,35.00138889,-83.38416667,NC
EARLY,2005,Miscellaneous,5,44.91111111,-119.6961111,OR
HATCH,2005,Lightning,5,39.29222222,-105.1830556,CO
32,2005,Campfire,2.5,43.72527778,-121.5741667,OR
41,2005,"Debris Burning",2.5,44.41,-121.3155556,OR
"HALFWAY  108",2005,Lightning,2.5,42.13388889,-121.2341667,OR
"PARADISE  104",2005,Miscellaneous,2.5,42.31138889,-120.9027778,OR
"STUMP 106",2005,Arson,2.5,42.95083333,-120.8361111,OR
"CRYSTAL SPRINGS",2005,Miscellaneous,2.5,44.81611111,-107.3311111,WY
"UPPER JIM",2005,Lightning,5,46.22083333,-117.785,WA
"COTTONWOOD  128",2005,Lightning,2.5,42.38694444,-120.8086111,OR
"OBENCHAIN  125",2005,Lightning,5,42.51472222,-121.12,OR
"IOWA FLATS",2005,"Debris Burning",5,48.92194444,-115.0925,MT
GATEWAY,2005,Campfire,5,48.99833333,-115.1655556,MT
"JUNIOR  122",2005,Lightning,2.5,42.92138889,-121.0308333,OR
"HAINES POINT",2005,Campfire,5,47.66555556,-115.5691667,MT
"TROUT CREEK II",2005,Lightning,2.5,38.91333333,-105.9836111,CO
"MT ELBERT",2005,Campfire,2.5,39.10027778,-106.3675,CO
"RED HOLLOW # 1",2005,Lightning,2.5,40.08888889,-111.3783333,UT
LLAMA,2005,"Debris Burning",5,48.89944444,-115.1069444,MT
"HWY 37",2005,Miscellaneous,2.5,48.90694444,-115.0766667,MT
"RACE TRACK 4",2005,Campfire,2.5,48.40777778,-115.5583333,MT
"RACE TRACK 5",2005,Campfire,2.5,48.40777778,-115.5577778,MT
"THOMAS CREEK  126",2005,Lightning,2.5,42.30277778,-120.5436111,OR
"DOG  129",2005,Lightning,5,42.13694444,-120.7016667,OR
"OLSEN HILL",2005,"Debris Burning",10,48.96666667,-115.2066667,MT
"SHOOTING RANGE",2005,Campfire,2.5,48.96444444,-115.1858333,MT
"WATER TANK",2005,Miscellaneous,5,48.89444444,-115.1652778,MT
BANKS,2005,"Debris Burning",2.5,48.81694444,-115.1113889,MT
"AIRPORT RD",2005,Miscellaneous,2.5,48.9625,-115.0855556,MT
BENHAM,2005,Campfire,5,35.23638889,-112.2163889,AZ
LINTO,2005,"Debris Burning",2.5,41.03722222,-123.5330556,CA
"HUNTER MESA",2005,Miscellaneous,2.5,44.33555556,-106.9519444,WY
"SMITH RIDGE 1",2005,Lightning,2.5,45.55444444,-118.1019444,OR
BEARING,2005,"Equipment Use",2.5,48.28222222,-115.5105556,MT
"PIPE FLATS 2",2005,Campfire,2.5,48.41666667,-115.5461111,MT
OBSIDIAN,2005,Campfire,2.5,48.34888889,-115.4908333,MT
"RACETRACK #7",2005,Campfire,2.5,48.40833333,-115.5583333,MT
GILLESPIE,2005,"Equipment Use",2.5,32.56055556,-109.7725,AZ
"HWY 2",2005,Miscellaneous,5,48.22805556,-115.4802778,MT
ANTELOPE,2005,Lightning,10,32.46722222,-104.9416667,NM
CUNNINGHAM,2005,Lightning,5,32.68555556,-109.8691667,AZ
CANYON,2005,Miscellaneous,2.5,34.17444444,-117.765,CA
FOUNTAIN,2005,Children,5,34.15388889,-117.8411111,CA
"DUNCANS RIDGE",2005,Lightning,2.5,44.98861111,-118.9388889,OR
ROBIN,2005,"Debris Burning",2.5,38.98388889,-120.8025,CA
VICTORIA,2005,Campfire,2.5,44.01277778,-103.3825,SD
MULLETT,2005,Lightning,2.5,36.01666667,-106.7166667,NM
"SNAG  124",2005,Lightning,2.5,42.62083333,-120.845,OR
"FRY MESA",2005,Arson,2.5,32.75361111,-109.8313889,AZ
"HOT SPRINGS",2005,"Debris Burning",2.5,38.70027778,-119.8405556,CA
SHINGLE,2005,Arson,2.5,38.45361111,-119.4586111,CA
"CEDAR SPRINGS",2005,Lightning,2.5,36.66944444,-107.2536111,NM
BUZZARD,2005,Lightning,2.5,36.87638889,-107.2191667,NM
STRAWBERRY,2005,Railroad,2.5,48.45833333,-115.6666667,MT
"RACETRACK #3",2005,Campfire,2.5,48.40833333,-115.5583333,MT
"DEEP CREEK",2005,"Debris Burning",5,48.76666667,-114.8783333,MT
"PIPE FLATS",2005,Children,2.5,48.41472222,-115.5480556,MT
"RACETRACK #8",2005,Campfire,2.5,48.40833333,-115.5583333,MT
CROSS,2005,Lightning,2.5,43.64527778,-109.9125,WY
LOOKOUT,2005,Miscellaneous,2.5,33.66666667,-117.3763889,CA
"DEVIL'S GATE",2005,Lightning,2.5,38.35361111,-119.3780556,CA
"GRAND VISTA FIRE",2005,Miscellaneous,2.5,34.65472222,-94.28638889,AR
ANCHORITE,2005,Lightning,2.5,38.17916667,-118.7116667,NV
SADDLE,2005,"Equipment Use",10,33.71888889,-117.4336111,CA
PETERSON,2005,"Equipment Use",2.5,37.04416667,-119.3438889,CA
SUMMIT,2005,Lightning,10,38.25555556,-118.4861111,NV
#2029,2005,Lightning,5,43.99138889,-118.7327778,OR
"DUCK CREEK",2005,Railroad,5,43.065,-103.6605556,SD
8GN,2005,Lightning,10,37.345,-102.8058333,CO
"RACE TRACK #9",2005,Campfire,2.5,48.40777778,-115.5577778,MT
"THOMPSON BUTTE",2005,Lightning,15,43.89916667,-102.9547222,SD
"CHARLES DRAW",2005,Lightning,15,43.89277778,-102.9480556,SD
"RODEO FIRE",2005,Campfire,2.5,43.78333333,-119,OR
SKYLINE,2005,Campfire,2.5,46.08055556,-117.8908333,WA
TELEPHONE,2005,Lightning,2.5,35.95,-106.7166667,NM
JP,2005,Lightning,2.5,35.91666667,-106.8,NM
HAMMER,2005,Lightning,2.5,36.03333333,-106.9833333,NM
"PETE POWER",2005,Miscellaneous,2.5,48.83083333,-115.6763889,MT
"EAST SIDE",2005,"Debris Burning",5,48.53888889,-115.9347222,MT
"32 MILE YAAK",2005,"Debris Burning",10,48.84694444,-115.6622222,MT
"CRAFT CABIN",2005,Lightning,2.5,43.80888889,-118.7275,OR
#2045,2005,Lightning,2.5,43.72472222,-119.6605556,OR
"# 2046",2005,Lightning,2.5,43.77222222,-119.6597222,OR
#2047,2005,Lightning,2.5,43.81166667,-119.6866667,OR
"# 2048",2005,Lightning,2.5,43.83583333,-119.7413889,OR
"OLD R.D.",2005,"Equipment Use",5,36.69166667,-107.3858333,NM
WILLOW,2005,Lightning,5,38.83972222,-119.8863889,CA
ULIBARRI,2005,Lightning,2.5,36.87138889,-107.2477778,NM
PEAVINE,2005,Arson,2.5,39.64972222,-119.8666667,NV
CABRESTO,2005,Lightning,2.5,36.88388889,-107.2908333,NM
BANCOS,2005,Lightning,10,36.93472222,-107.3497222,NM
"GOMEZ TANK",2005,Lightning,2.5,36.74194444,-107.2125,NM
VALENCIA,2005,Lightning,5,36.65944444,-107.1963889,NM
BUCK,2005,Lightning,5,36.64583333,-107.2269444,NM
FIRST,2005,"Debris Burning",2.5,36.09666667,-106.1616667,NM
"GRANTIE CREEK BRIDGE",2005,Campfire,2.5,48.305,-115.5416667,MT
"RACE TRACK 10",2005,Campfire,2.5,48.40805556,-115.5583333,MT
"RACE TRACK #11",2005,Campfire,2.5,48.40805556,-115.5080556,MT
"400 RANCH",2004,Miscellaneous,2.5,45.1,-109.3125,MT
SCENERY,2005,Campfire,5,48.41944444,-115.6577778,MT
DOGWOOD,2005,Miscellaneous,2.5,35.76888889,-118.4352778,CA
"CLEAR CREEK",2005,Miscellaneous,5,39.11666667,-119.845,NV
SAWYER,2005,Lightning,5,35.70111111,-105.7091667,NM
BUCKEYE,2005,Lightning,2.5,38.22666667,-119.3466667,CA
"RISUE 5",2005,Lightning,5,38.60222222,-119.4297222,NV
LOOP,2005,Miscellaneous,2.5,44.48861111,-111.2561111,ID
SUMMERS,2005,Lightning,2.5,38.16888889,-119.3169444,CA
GURULE,2005,Lightning,5,36.92277778,-107.2363889,NM
APACHE,2005,"Debris Burning",5,34.74833333,-119.4102778,CA
TREEBONE,2005,Campfire,2.5,35.88361111,-121.4569444,CA
MARBLE,2005,Campfire,2.5,36.21805556,-121.4991667,CA
WHITE,2005,"Equipment Use",2.5,36.44833333,-121.5827778,CA
SECRET,2005,Lightning,5,38.29444444,-119.54,CA
EAGLE,2005,Lightning,2.5,38.22222222,-119.3869444,CA
DEVIL,2005,Lightning,2.5,38.3575,-119.3611111,CA
WILD,2005,Lightning,2.5,36.90972222,-107.2558333,NM
COTTONWOOD,2005,Lightning,2.5,36.94111111,-107.32,NM
SHERWIN,2005,"Equipment Use",2.5,37.53055556,-118.6272222,CA
VISTA,2005,Lightning,2.5,37.515,-118.5983333,CA
"RACE TRACK #12",2005,Campfire,2.5,48.40777778,-115.4752778,MT
"RACE TRACK #13",2005,Campfire,2.5,48.4075,-115.5586111,MT
"CLEAR CREEK 5",2005,Lightning,5,39.08555556,-119.8741667,NV
"EAST MINK",2005,Campfire,2.5,42.73638889,-112.3844444,ID
"BLUE CREEK FIRE",2005,Lightning,2.5,43.84527778,-119.3658333,OR
DUCKWALL,2005,"Debris Burning",5,37.94027778,-120.1216667,CA
WOODFORDS,2005,Miscellaneous,2.5,38.76388889,-119.8538889,CA
INMAN,2005,Campfire,2.5,42.83972222,-112.1766667,ID
WHITEROCK,2005,Campfire,2.5,42.69138889,-112.3686111,ID
"CLEAR CREEK",2005,Campfire,2.5,42.73638889,-112.0722222,ID
PINEBRUSH,2005,Campfire,5,39.47972222,-119.8513889,NV
TURKEY,2005,Lightning,2.5,33.36861111,-108.6005556,NM
FAIRVIEW,2005,"Equipment Use",5,34.46666667,-119.8283333,CA
CHIMINEAS,2005,Miscellaneous,10,35.13583333,-120.0025,CA
SEVEN,2005,Campfire,2.5,34.855,-119.0738889,CA
MARCOS,2005,Campfire,2.5,34.49638889,-119.8511111,CA
"TASSAJARA 1",2005,Smoking,5,36.2425,-121.5511111,CA
"TASSAJARA 2",2005,Smoking,2.5,36.2425,-121.5480556,CA
SENIOR,2005,Miscellaneous,5,34.47138889,-119.195,CA
"HANKS DRAW",2005,Lightning,2.5,34.45166667,-110.6661111,AZ
WILLOW,2005,Lightning,2.5,34.36361111,-110.4041667,AZ
BACHELOR,2005,Lightning,5,33.71611111,-111.2177778,AZ
PYLON,2005,Miscellaneous,5,33.95972222,-111.3980556,AZ
THREE,2005,Lightning,50,33.72333333,-111.275,AZ
MARTINEZ,2005,Lightning,2.5,36.89972222,-107.2944444,NM
MISSISSIPPI,2005,Lightning,2.5,36.9,-107.3280556,NM
ANSELMO,2005,Lightning,2.5,36.91833333,-107.3527778,NM
"WEST RIVER VIEW",2005,Railroad,2.5,48.35194444,-115.3625,MT
LION,2005,Lightning,2.5,36.86388889,-107.265,NM
"RACE TRACK #16",2005,Campfire,2.5,48.40833333,-115.5583333,MT
"CEMETERY POINT",2005,Smoking,2.5,41.26416667,-111.7958333,UT
BURNT,2005,Miscellaneous,2.5,33.62138889,-111.2030556,AZ
"MOON LAKE",2005,Campfire,2.5,48.05944444,-90.3375,MN
DRILL,2005,Lightning,2.5,36.93472222,-107.3411111,NM
POND,2005,Miscellaneous,5,33.83972222,-109.115,AZ
TURKEY,2005,Miscellaneous,5,34.40527778,-111.0275,AZ
"BEAR CUB",2005,"Debris Burning",2.5,47.7675,-91.9475,MN
"CONCHO BILL",2005,Lightning,2.5,33.83666667,-109.3608333,AZ
"SOUTH FORK",2005,Campfire,5,35.63833333,-118.2811111,CA
"HANSON ROAD",2005,"Debris Burning",2.5,47.94027778,-91.85166667,MN
BEAVER,2005,Miscellaneous,5,38.89111111,-105.4319444,CO
HILL,2005,Children,2.5,47.89833333,-91.86861111,MN
TENT,2005,Campfire,2.5,35.64694444,-118.4636111,CA
SIBLEY,2005,Arson,2.5,47.89805556,-91.87111111,MN
CHEVELON,2005,Lightning,5,34.54166667,-110.9025,AZ
REDS,2005,Campfire,2.5,35.66305556,-118.4436111,CA
TILLIE,2005,Miscellaneous,5,35.70222222,-118.4536111,CA
POOREBOY,2005,Lightning,2.5,38.65861111,-119.7513889,CA
SHIPMAN,2005,Campfire,2.5,47.91805556,-91.90194444,MN
STINE,2005,Miscellaneous,2.5,35.67861111,-118.4094444,CA
WILKINS,2005,Lightning,5,34.53055556,-111.0127778,AZ
MCKIBBONS,2005,Lightning,2.5,33.70861111,-109.4736111,AZ
MOBILE,2005,Miscellaneous,2.5,35.64972222,-118.4163889,CA
BARBER,2005,Lightning,2.5,38.67055556,-119.7672222,CA
MARINA,2005,Campfire,2.5,35.695,-118.4602778,CA
FISHBENCH,2005,Lightning,2.5,33.71444444,-109.4394444,AZ
BROOKS,2005,Campfire,5,35.64138889,-118.3366667,CA
CREEK,2005,Lightning,2.5,33.81555556,-109.3213889,AZ
HILL,2005,Lightning,2.5,38.35,-119.35,CA
FALLS,2005,Lightning,2.5,38.29888889,-119.5652778,CA
TUTTLE,2005,Miscellaneous,5,35.68166667,-118.4588889,CA
JANET,2005,Campfire,2.5,38.05444444,-119.2519444,CA
"DOUG FIR",2005,Lightning,2.5,33.66,-109.355,AZ
HOUSE,2005,Miscellaneous,2.5,35.45805556,-118.7830556,CA
"SLINKARD 2",2005,Lightning,10,38.57361111,-119.5547222,CA
GOBBLER,2005,Lightning,2.5,33.63361111,-109.47,AZ
PECHACHO,2005,Smoking,2.5,35.46444444,-118.7563889,CA
"SWAUGER II",2005,Lightning,2.5,38.35111111,-119.3272222,CA
"SWAUGER I",2005,Lightning,2.5,38.35027778,-119.3308333,CA
SAWMILL,2005,Lightning,2.5,38.34444444,-119.3333333,CA
RISUE,2005,Lightning,2.5,38.65555556,-119.3888889,NV
SPOONER,2005,Miscellaneous,2.5,39.11583333,-119.8875,NV
"BIG CANYON",2005,Miscellaneous,2.5,39.22027778,-119.8497222,NV
"CLEAR CREEK 2",2005,Miscellaneous,5,39.11055556,-119.8597222,NV
"CHICKEN SCRATCH",2005,Arson,2.5,47.54277778,-94.59638889,MN
"BLACK SNOW",2005,Arson,5,47.54138889,-94.57361111,MN
"WOOD RAIL",2005,Railroad,5,47.59888889,-94.53916667,MN
CEMETERY,2005,Arson,2.5,47.53527778,-94.50027778,MN
"MEADOW LAKE",2005,Arson,5,47.5625,-94.64833333,MN
CEDAR,2005,Lightning,2.5,38.1975,-118.7302778,NV
CHILAO,2005,Lightning,2.5,38.17333333,-118.7138889,NV
GREEN,2005,Lightning,2.5,33.76555556,-109.175,AZ
WILDCAT,2005,Lightning,5,34.45555556,-110.7580556,AZ
HORSIE,2005,"Debris Burning",2.5,38.64444444,-119.4472222,NV
ROTOR,2005,Lightning,2.5,33.81861111,-109.2983333,AZ
"HORSIE 2",2005,"Debris Burning",2.5,38.64444444,-119.4472222,NV
WALMART,2005,Lightning,5,34.20055556,-110.04,AZ
LONE,2005,Lightning,2.5,38.65555556,-119.3938889,NV
RIVER,2005,Campfire,5,33.72777778,-109.3547222,AZ
BROOKBANK,2005,Lightning,2.5,34.49833333,-110.6344444,AZ
"RICE PLANT",2005,Arson,5,47.3175,-93.93388889,MN
POWER,2005,Campfire,2.5,34.40916667,-111.0088889,AZ
PANORAMA,2005,Campfire,2.5,34.21111111,-109.9277778,AZ
"RIGGS FIRE 1",2005,Campfire,5,34.00111111,-109.2547222,AZ
"WINNIE DAM #1",2005,Arson,5,47.35444444,-94.17194444,MN
BLUEGRASS,2005,Campfire,2.5,34.31777778,-110.1691667,AZ
"BLUE RIDGE",2005,Lightning,2.5,34.15083333,-109.91,AZ
"WINNIE DAM #2",2005,Arson,5,47.35444444,-94.17222222,MN
GRAMA,2005,Lightning,5,34.55888889,-110.9669444,AZ
"PARK FIRE",2005,Arson,2.5,47.32638889,-93.93694444,MN
KV,2005,Lightning,5,34.45,-110.75,AZ
"GAS TAX",2005,"Debris Burning",5,47.25305556,-93.91027778,MN
ASPEN,2005,Lightning,5,34.10416667,-109.4952778,AZ
"BARNEY LAKE",2005,Arson,10,47.48166667,-93.67138889,MN
SPRINGER,2005,Lightning,2.5,34.16166667,-109.9391667,AZ
HOME,2005,Lightning,2.5,33.83388889,-109.385,AZ
CABIN,2005,Lightning,2.5,34.16416667,-109.9286111,AZ
LAKE,2005,Campfire,5,34.33583333,-110.835,AZ
"INGER FIRE",2005,Miscellaneous,2.5,47.54972222,-93.97694444,MN
192,2005,Miscellaneous,5,39.61472222,-119.9972222,CA
"INGER FIRE #2",2005,Arson,2.5,47.55472222,-93.98472222,MN
"FOOL HOLLOW",2005,Arson,5,34.21166667,-110.0847222,AZ
"117 C",2005,Campfire,2.5,34.08694444,-109.5333333,AZ
HAYGROUND,2005,Lightning,2.5,33.82888889,-109.4633333,AZ
"CATTLE GUARD",2005,Campfire,5,34.40944444,-111.0083333,AZ
BEAR,2005,Smoking,2.5,34.41444444,-111.0097222,AZ
CHAOS,2005,Campfire,2.5,34.40138889,-110.9961111,AZ
"RIGHT HAND",2005,Miscellaneous,2.5,34.20805556,-110.0755556,AZ
"LAKE FANNIN",2005,Arson,5,33.78611111,-96.15,TX
CEMETERY,2005,"Debris Burning",10,31.3125,-94.27083333,TX
"BLACK CREEK",2005,Campfire,5,33.34583333,-97.59583333,TX
"WELL DAM",2005,Smoking,5,31.38666667,-95.15055556,TX
"ENON CEMETARY",2005,Lightning,10,31.35416667,-95.08527778,TX
"POLE CANYON",2005,Lightning,2.5,43.56,-111.1291667,ID
"BUCK CREEK #1",2005,Arson,5,31.15444444,-93.62388889,TX
"BUCK CREEK #2",2005,Arson,5,31.15888889,-93.62083333,TX
"SU FIRE",2005,Lightning,2.5,33.91944444,-109.4127778,AZ
"BUCK CREEK #3",2005,Arson,5,31.15972222,-93.61888889,TX
"BUCK CREEK #4",2005,Arson,5,31.14583333,-93.61527778,TX
"BUCK CREEK #5",2005,Arson,2.5,31.16305556,-93.61694444,TX
"BIG FIRE",2005,Lightning,2.5,33.86305556,-109.4180556,AZ
"BUCK CREEK #6",2005,Arson,5,31.16416667,-93.61527778,TX
BEAVER,2005,Miscellaneous,2.5,34.38638889,-111.0183333,AZ
"KNOLL FIRE",2005,Lightning,2.5,33.92,-109.4125,AZ
"RJ HERO",2005,Arson,10,31.43666667,-95.15055556,TX
SIPE,2005,Lightning,2.5,34.05555556,-109.2388889,AZ
"CHICKEN LAKE",2005,"Equipment Use",10,33.33055556,-97.7625,TX
FOUR,2005,Arson,5,33.355,-97.7675,TX
GREER,2005,Lightning,5,34.04527778,-109.4758333,AZ
"UNIT 38",2005,Arson,10,33.34444444,-97.65222222,TX
"CLEAR LAKE",2005,Arson,10,33.32361111,-97.64583333,TX
PORT,2005,Campfire,2.5,34.40694444,-111.0077778,AZ
"SOUTH LEIGH LOOP",2005,Campfire,2.5,43.82,-110.9652778,WY
RIDGE,2005,Campfire,2.5,34.40027778,-111.01,AZ
"RESERVATION CREEK",2005,Lightning,2.5,33.80138889,-109.4927778,AZ
DUTCH,2005,Lightning,5,34.47722222,-110.9622222,AZ
"NUMBER ONE",2005,Lightning,2.5,34.52305556,-111.0275,AZ
"NUMBER TWO",2005,Lightning,5,34.53833333,-111.0208333,AZ
PECOS,2005,Lightning,2.5,35.6875,-105.7438889,NM
SAPELLO,2005,Lightning,5,35.785,-105.4119444,NM
WIGGINS,2005,Lightning,5,34.51694444,-111.0033333,AZ
GLORIETA,2005,Lightning,2.5,35.61777778,-105.6313889,NM
CHIPMUNK,2005,Lightning,5,34.14972222,-109.8758333,AZ
MORGAN,2005,Lightning,2.5,34.20138889,-109.8841667,AZ
TWO,2005,Lightning,2.5,34.45777778,-110.4658333,AZ
COPPER,2005,"Debris Burning",2.5,42.84416667,-112.5227778,ID
"SPRING CANYON",2005,Lightning,2.5,43.21083333,-111.0344444,ID
MEADOW,2005,Campfire,5,34.06166667,-109.3477778,AZ
WEST,2005,Lightning,2.5,38.76583333,-119.8877778,CA
FIRST,2005,Campfire,2.5,35.31111111,-111.4136111,AZ
"LAZY CHAIR",2005,Lightning,2.5,39.3975,-105.2461111,CO
CEDAR,2005,Lightning,5,32.75194444,-110.0872222,AZ
PARTY,2005,Campfire,2.5,35.325,-111.525,AZ
STOWE,2005,Lightning,10,32.77305556,-109.9422222,AZ
"LINDEN DRAW",2005,Lightning,5,34.32833333,-110.0833333,AZ
EIGHTY-NINE,2005,Miscellaneous,5,35.45638889,-111.5966667,AZ
BONITO,2005,Smoking,2.5,35.37027778,-111.5433333,AZ
"TWO TROUGHS",2005,Lightning,10,32.7925,-110.0811111,AZ
"SKY HIGH",2005,Lightning,5,34.15166667,-109.8675,AZ
"WEST PEAK",2005,Lightning,2.5,32.73972222,-110.0402778,AZ
SUNSET,2005,Arson,5,35.31972222,-111.5252778,AZ
GLEN,2005,Lightning,2.5,33.31722222,-108.8952778,NM
MEXICAN,2005,Lightning,5,32.80083333,-110.0083333,AZ
GRANT,2005,Lightning,2.5,32.6525,-109.8691667,AZ
GENOA,2005,Lightning,5,38.98916667,-119.8463889,NV
"BUNO GULCH",2005,Campfire,2.5,39.3525,-105.1555556,CO
HELION,2005,Campfire,2.5,45.13472222,-122.1797222,OR
BIGHORN,2005,"Equipment Use",5,33.33111111,-108.3780556,NM
OWL,2005,Lightning,5,33.68444444,-108.9816667,NM
NOLAN,2005,Lightning,5,33.69277778,-109,NM
ROAD#86,2005,Arson,5,34.89055556,-92.89138889,AR
PARK,2005,Campfire,5,33.55972222,-108.9591667,NM
LANDFILL,2005,Arson,5,33.28694444,-108.8686111,NM
"DICE  141",2005,Lightning,5,42.58694444,-121.1863889,OR
HARDEN,2005,Campfire,5,33.11861111,-109,NM
BEAD,2005,Lightning,2.5,33.36305556,-108.6638889,NM
PADUA,2005,Miscellaneous,2.5,34.16222222,-117.6816667,CA
"COTTONWOOD 2",2005,Lightning,10,43.66194444,-102.8344444,SD
CREEK,2005,Lightning,5,33.36166667,-108.615,NM
HUMMINGBIRD,2005,Lightning,5,33.335,-108.6761111,NM
NARROWS,2005,Campfire,2.5,42.69833333,-112.4188889,ID
"FIVE-MILE  140",2005,Lightning,5,42.53222222,-121.1205556,OR
MANNESS,2005,Lightning,2.5,33.66638889,-109,NM
RAIN,2005,Lightning,2.5,35.31694444,-111.4238889,AZ
DUNE,2005,Lightning,2.5,35.32805556,-111.4402778,AZ
SKUNK,2005,Lightning,5,33.65222222,-109,NM
WALNUT,2005,Lightning,2.5,35.54722222,-111.2083333,AZ
GROUSE,2005,Lightning,5,33.33777778,-108.72,NM
SAGE,2005,Lightning,2.5,35.53083333,-111.4102778,AZ
"STRONTIA SPRINGS",2005,Lightning,5,39.41277778,-105.1411111,CO
HALEY,2005,Lightning,5,35.46222222,-111.8027778,AZ
SAWMILL,2005,Lightning,2.5,33.00222222,-108.9352778,NM
"WILLOW FIRE",2005,Lightning,5,39.33805556,-105.1741667,CO
CANYON,2005,Lightning,5,33.66916667,-108.9519444,NM
CHEVY,2005,"Equipment Use",2.5,34.24222222,-117.8558333,CA
"JACKSON CREEK",2005,Lightning,5,39.2975,-105.0597222,CO
"SAN FRANSISCO",2005,Lightning,2.5,35.25277778,-111.3844444,AZ
"BRIDGE CROSSING",2005,Lightning,2.5,39.29416667,-105.1927778,CO
CINDER,2005,Campfire,2.5,35.33277778,-111.5130556,AZ
LOCKETT,2005,Campfire,2.5,35.3575,-111.6216667,AZ
JAG,2005,Miscellaneous,2.5,34.22388889,-117.6675,CA
AUSTRALIA,2005,Campfire,2.5,35.34138889,-111.5086111,AZ
EVENING,2005,Lightning,2.5,35.32166667,-111.4672222,AZ
"BIG ROCK",2005,Lightning,5,39.34166667,-105.3213889,CO
"DRY LAKE",2005,Lightning,2.5,35.25305556,-111.6586111,AZ
DARLING,2005,"Debris Burning",2.5,38.89694444,-120.7825,CA
"SOUTH SCRAGGY",2005,Lightning,2.5,39.3325,-105.1980556,CO
LEROY,2005,Miscellaneous,2.5,34.12222222,-117.7505556,CA
SCRAGGLY,2005,Lightning,2.5,39.36277778,-105.2122222,CO
"WATERTON CANYON",2005,Lightning,5,39.48055556,-105.1366667,CO
WARD,2005,Lightning,5,33.66833333,-108.9686111,NM
"CAMPBELL SOUTH",2005,Lightning,2.5,39.3075,-105.1344444,CO
RAIN,2005,Lightning,2.5,33.28416667,-108.6675,NM
NIGHTHAWK,2005,Lightning,5,39.3525,-105.1555556,CO
ANT,2005,Campfire,2.5,35.88638889,-118.4611111,CA
DODGER,2005,Lightning,5,39.38333333,-105.2933333,CO
ICEHOUSE,2005,Miscellaneous,2.5,34.25,-117.6366667,CA
